xdrop,dataset,algo,gcups_inner,time_ms_inner
5.0,celegans,ksw2,6.190996446414717,0.16152488676990154
5.0,celegans,logan,10.536174380375481,0.09491110946897244
5.0,celegans,seqan,2.0534079283937166,0.48699529507624556
5.0,ecoli,ksw2,14.056408419035277,0.07114192830693464
5.0,ecoli,logan,22.547319626840995,0.044351169742126266
5.0,ecoli,seqan,4.657577084860542,0.2147039075854484
5.0,ecoli100,ksw2,9.406434412692597,0.10631020811144416
5.0,ecoli100,logan,8.985369821175642,0.11129202469144006
5.0,ecoli100,seqan,3.032092998895456,0.329805187494013
5.0,simulated85,ksw2,9.115504393685827,0.10970319982432186
5.0,simulated85,logan,32.35988485188037,0.030902458540172827
5.0,simulated85,seqan,3.125392524986781,0.31995981048947747
10.0,celegans,ksw2,4.312913470782971,0.2318618276889425
10.0,celegans,logan,5.2213866686102754,0.19152000483162077
10.0,celegans,seqan,1.5765501785068592,0.6342963348918547
10.0,ecoli,ksw2,5.391943072233937,0.18546189872618402
10.0,ecoli,logan,8.149740469930869,0.12270329388887675
10.0,ecoli,seqan,2.4581346688898695,0.4068125366181077
10.0,ecoli100,ksw2,4.437608706099287,0.22534659232697699
10.0,ecoli100,logan,4.907729290584145,0.2037602200102146
10.0,ecoli100,seqan,2.320636518266675,0.4309162560050196
10.0,simulated85,ksw2,7.646079776600531,0.13078597519480797
10.0,simulated85,logan,26.77761675213218,0.03734462290862291
10.0,simulated85,seqan,3.112360573493741,0.3212995333884025
15.0,celegans,ksw2,2.299694170010664,0.43484042923645055
15.0,celegans,logan,3.29023624876414,0.3039295431674897
15.0,celegans,seqan,1.6151057314816801,0.6191545113784044
15.0,ecoli,ksw2,2.5353056450065092,0.39442976114914646
15.0,ecoli,logan,4.247407135490939,0.23543775487028148
15.0,ecoli,seqan,1.6459277972624868,0.6075600653097929
15.0,ecoli100,ksw2,2.363215525751533,0.4231522639823499
15.0,ecoli100,logan,3.1429297427758134,0.3181744683598327
15.0,ecoli100,seqan,1.8615819469332144,0.5371775342188984
15.0,simulated85,ksw2,6.044482840032007,0.16544012555997342
15.0,simulated85,logan,19.183842180896775,0.052127201139915424
15.0,simulated85,seqan,2.542257121068494,0.39335124355152024
20.0,celegans,ksw2,1.5477254743099318,0.6461094144915199
20.0,celegans,logan,2.546055126307144,0.39276447303418077
20.0,celegans,seqan,1.684029523619563,0.5938138173793138
20.0,ecoli,ksw2,1.532481355141027,0.6525364870804413
20.0,ecoli,logan,2.634594388852169,0.37956506862359046
20.0,ecoli,seqan,1.2622000615531788,0.7922674308615284
20.0,ecoli100,ksw2,1.6225579501096592,0.6163108072241215
20.0,ecoli100,logan,2.2416655301541475,0.4460968804437276
20.0,ecoli100,seqan,1.6943310146805601,0.5902034439170875
20.0,simulated85,ksw2,5.367974962028559,0.1862899896280626
20.0,simulated85,logan,16.653059523885812,0.06004902574002574
20.0,simulated85,seqan,2.3375882660760636,0.4277913328503424
