xdrop,dataset,devicename,algo,gcups_inner,time_ms_inner
5.0,celegans,AMD EPYC 7763,ksw2,16611.80484663417,218690.862
5.0,celegans,AMD EPYC 7763,seqan,50084.36139354766,72534.616
5.0,celegans,Graphcore IPU,ipuma,107843.82736360474,33686.21097837838
5.0,celegans,NVIDIA A100,logan,9761.002529115493,372180.0
5.0,ecoli,AMD EPYC 7763,ksw2,9352.115902572254,13048.142
5.0,ecoli,AMD EPYC 7763,seqan,28224.36608424838,4323.489
5.0,ecoli,Graphcore IPU,ipuma,125909.13179444712,969.1730421621621
5.0,ecoli,NVIDIA A100,logan,5830.278848409983,20930.0
5.0,ecoli100,AMD EPYC 7763,ksw2,9639.218014400734,85162.153
5.0,ecoli100,AMD EPYC 7763,seqan,29903.65799305476,27451.376
5.0,ecoli100,Graphcore IPU,ipuma,89351.6981628505,9187.251907027026
5.0,ecoli100,NVIDIA A100,logan,10090.922671699467,81350.0
5.0,simulated85,AMD EPYC 7763,ksw2,9659.817453596175,1656.346
5.0,simulated85,AMD EPYC 7763,seqan,28173.775849429152,567.904
5.0,simulated85,Graphcore IPU,ipuma,89732.4602445467,178.30782702702703
5.0,simulated85,NVIDIA A100,logan,2721.0884353731653,5880.0
10.0,celegans,AMD EPYC 7763,ksw2,9663.761198202788,375925.051
10.0,celegans,AMD EPYC 7763,seqan,26436.815280838364,137416.322
10.0,celegans,Graphcore IPU,ipuma,40374.21187165414,89979.46344648648
10.0,celegans,NVIDIA A100,logan,7982.355740999328,455110.0
10.0,ecoli,AMD EPYC 7763,ksw2,7455.166376900991,16368.211
10.0,ecoli,AMD EPYC 7763,seqan,16352.982286538689,7462.109
10.0,ecoli,Graphcore IPU,ipuma,38464.401094769986,3172.4850205405405
10.0,ecoli,NVIDIA A100,logan,4932.40647927328,24740.0
10.0,ecoli100,AMD EPYC 7763,ksw2,5001.721115612777,164122.817
10.0,ecoli100,AMD EPYC 7763,seqan,9564.47982844907,85827.622
10.0,ecoli100,Graphcore IPU,ipuma,22139.102514323888,37079.03510594594
10.0,ecoli100,NVIDIA A100,logan,4522.596878093503,181510.0
10.0,simulated85,AMD EPYC 7763,ksw2,9529.623728759638,1678.975
10.0,simulated85,AMD EPYC 7763,seqan,23411.25378968824,683.432
10.0,simulated85,Graphcore IPU,ipuma,64674.96584274553,247.3909308108108
10.0,simulated85,NVIDIA A100,logan,2721.0884353731653,5880.0
15.0,celegans,AMD EPYC 7763,ksw2,7010.735611234031,518183.843
15.0,celegans,AMD EPYC 7763,seqan,9982.348213110732,363927.389
15.0,celegans,Graphcore IPU,ipuma,15672.173819830787,231802.55419891892
15.0,celegans,NVIDIA A100,logan,4900.118591392004,741380.0
15.0,ecoli,AMD EPYC 7763,ksw2,7064.047274434207,17274.479
15.0,ecoli,AMD EPYC 7763,seqan,10881.108491668387,11214.642
15.0,ecoli,Graphcore IPU,ipuma,17159.81431980375,7111.250391351351
15.0,ecoli,NVIDIA A100,logan,4216.576928031131,28940.0
15.0,ecoli100,AMD EPYC 7763,ksw2,4477.836815022429,183324.358
15.0,ecoli100,AMD EPYC 7763,seqan,5684.462884094803,144410.576
15.0,ecoli100,Graphcore IPU,ipuma,10677.14945685341,76883.49429405405
15.0,ecoli100,NVIDIA A100,logan,3366.951968101192,243810.0
15.0,simulated85,AMD EPYC 7763,ksw2,8636.128596269738,1852.682
15.0,simulated85,AMD EPYC 7763,seqan,20533.301164487417,779.222
15.0,simulated85,Graphcore IPU,ipuma,49768.81460854144,321.48645945945947
15.0,simulated85,NVIDIA A100,logan,2721.0884353731653,5880.0
20.0,celegans,AMD EPYC 7763,ksw2,6179.962963610876,587843.316
20.0,celegans,AMD EPYC 7763,seqan,5679.761533226686,639613.107
20.0,celegans,Graphcore IPU,ipuma,9360.565190826055,388101.5566075676
20.0,celegans,NVIDIA A100,logan,3756.7474522617986,967020.0
20.0,ecoli,AMD EPYC 7763,ksw2,6946.566139146743,17566.627
20.0,ecoli,AMD EPYC 7763,seqan,8434.069538387404,14468.429
20.0,ecoli,Graphcore IPU,ipuma,10233.487619428182,11924.35471027027
20.0,ecoli,NVIDIA A100,logan,4040.653519775528,30200.0
20.0,ecoli100,AMD EPYC 7763,ksw2,4195.937921197347,195640.778
20.0,ecoli100,AMD EPYC 7763,seqan,4018.1950122000953,204294.853
20.0,ecoli100,Graphcore IPU,ipuma,6837.881224067519,120051.3042627027
20.0,ecoli100,NVIDIA A100,logan,3037.0955615921844,270290.0
20.0,simulated85,AMD EPYC 7763,ksw2,8441.627989058707,1895.369
20.0,simulated85,AMD EPYC 7763,seqan,19385.127972126866,825.375
20.0,simulated85,Graphcore IPU,ipuma,40474.69753544219,395.3086983783784
20.0,simulated85,NVIDIA A100,logan,2721.0884353731653,5880.0
